Qty,Description,Category,Manufacturer,Mfg Part,Vendor,Vendor Part,Unit Cost,Designator
6,Axial 400V 1A diode,Diode,Fairchild,1N4004,DigiKey,1N4004FSCT-ND,0.18,"D3M, D2, D4L, D1OR,D-PRE-OR,D6"
2,750 Ohm 20W resistor,Resistor,Multicomp,MCPRW020JW751B00,Newark,16R2128,0.157,"R1,R2"
2,"HV Relay 450V, 20A",Relay,TE Connectivity,V23700-C0001-A408,Mouser,655-V23700-C0001A408,73.76,"K1,K2"
2,2Pos DuraClik,Connector,Molex,502352-0200,DigiKey,WM7169CT-ND,1.32,"X-512,X-513"
1,4pos Microfit,Connector,Molex,43045-0415,Newark,56H9469,2.27,X-333
1,Axicom Relay,Relay,TE Connectivity,V23079D1003B301,DigiKey,PB1057CT-NDÿ,3.38,K3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,Total,157.204,
